                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.91761,                0.46801,                 1.0166,                0.99939,                0.98148,                0.99482,                0.69001,                 1.1515,                0.52546,                 1.0636,              0.0017941,              0.0017941,              0.0017941
                     54,                0.92851,                0.48286,                 1.0118,                0.99829,                      1,                  0.995,                0.71628,                 1.1048,                0.46141,                 1.0592,              0.0017901,              0.0017901,              0.0017901
                     55,                0.94686,                0.48645,                 1.0213,                0.99833,                      1,                  0.995,                0.72237,                 1.1303,                0.44364,                 1.0747,              0.0017862,              0.0017862,              0.0017862
                     56,                0.89787,                0.46041,                 1.0158,                0.99809,                0.98148,                0.99482,                0.67903,                 1.1954,                0.46873,                  1.109,              0.0017822,              0.0017822,              0.0017822
                     57,                0.93774,                0.47576,                 1.0235,                0.99652,                      1,                  0.995,                0.69931,                 1.1142,                0.48347,                 1.0695,              0.0017782,              0.0017782,              0.0017782
                     58,                0.90299,                0.45906,                 1.0102,                0.99743,                      1,                  0.995,                0.69374,                  1.129,                0.47091,                 1.0771,              0.0017743,              0.0017743,              0.0017743
                     59,                0.92172,                0.47516,                 1.0115,                0.99855,                0.98148,                0.99482,                0.71559,                 1.0955,                0.45857,                  1.063,              0.0017703,              0.0017703,              0.0017703
                     60,                0.90524,                0.45956,                 1.0095,                0.98151,                      1,                0.99482,                0.69912,                 1.1692,                0.47044,                 1.0981,              0.0017664,              0.0017664,              0.0017664
                     61,                0.91431,                0.47587,                0.99912,                      1,                0.99897,                  0.995,                0.67754,                 1.2268,                0.50966,                 1.1167,              0.0017624,              0.0017624,              0.0017624
                     62,                0.90326,                0.45734,                 1.0077,                0.99876,                      1,                  0.995,                0.71573,                 1.0942,                0.44538,                 1.0644,              0.0017584,              0.0017584,              0.0017584
                     63,                 0.8797,                0.44801,                 1.0028,                0.99917,                      1,                  0.995,                0.69391,                 1.1603,                0.47592,                 1.0812,              0.0017545,              0.0017545,              0.0017545
                     64,                0.90309,                0.46385,                 1.0099,                 0.9996,                      1,                  0.995,                0.71817,                 1.1502,                0.47081,                 1.0833,              0.0017505,              0.0017505,              0.0017505
                     65,                0.92598,                0.47521,                 1.0066,                0.99791,                      1,                  0.995,                0.65166,                  1.227,                0.51787,                 1.0941,              0.0017466,              0.0017466,              0.0017466
                     66,                0.89192,                0.45664,                 1.0023,                0.99791,                      1,                  0.995,                0.70748,                 1.0719,                0.46701,                 1.0447,              0.0017426,              0.0017426,              0.0017426
                     67,                0.89216,                0.45205,                0.98508,                 0.9981,                      1,                  0.995,                0.69293,                 1.1927,                0.46293,                 1.1032,              0.0017386,              0.0017386,              0.0017386
                     68,                0.90336,                0.46458,                 1.0189,                0.99856,                      1,                  0.995,                0.70235,                 1.1621,                0.46691,                 1.0897,              0.0017347,              0.0017347,              0.0017347
                     69,                0.89238,                 0.4487,                0.99722,                      1,                0.99723,                  0.995,                0.71252,                 1.1245,                0.45734,                 1.0599,              0.0017307,              0.0017307,              0.0017307
                     70,                0.88208,                0.44591,                 1.0007,                 0.9982,                      1,                  0.995,                0.73155,                 1.0769,                 0.4227,                 1.0461,              0.0017268,              0.0017268,              0.0017268
                     71,                 0.9046,                 0.4505,                 1.0099,                 0.9986,                      1,                  0.995,                0.68791,                 1.2172,                0.46946,                 1.1151,              0.0017228,              0.0017228,              0.0017228
                     72,                0.90853,                0.45266,                 1.0065,                0.99875,                      1,                  0.995,                0.67921,                 1.1656,                0.46776,                 1.0963,              0.0017188,              0.0017188,              0.0017188
                     73,                0.88264,                0.44456,                0.99573,                      1,                0.99814,                  0.995,                0.71367,                  1.085,                0.44135,                  1.067,              0.0017149,              0.0017149,              0.0017149
                     74,                0.86552,                0.44748,                0.99234,                0.99849,                      1,                  0.995,                0.70157,                 1.2136,                0.48713,                 1.1156,              0.0017109,              0.0017109,              0.0017109
                     75,                0.87377,                0.44323,                0.99369,                0.99694,                      1,                  0.995,                0.69546,                 1.1547,                 0.4868,                 1.0732,               0.001707,               0.001707,               0.001707
                     76,                0.87958,                0.44857,                0.99315,                0.99887,                      1,                  0.995,                0.71471,                 1.1389,                0.48232,                 1.0703,               0.001703,               0.001703,               0.001703
                     77,                0.89147,                0.45478,                0.98525,                      1,                0.96138,                0.98614,                0.68968,                 1.1765,                0.51005,                  1.092,               0.001699,               0.001699,               0.001699
                     78,                0.90231,                0.45606,                 1.0049,                 0.9986,                      1,                  0.995,                0.72413,                 1.1574,                0.43591,                 1.0886,              0.0016951,              0.0016951,              0.0016951
                     79,                0.87117,                0.42893,                0.99665,                      1,                0.99787,                  0.995,                0.70018,                 1.1155,                0.46396,                 1.0544,              0.0016911,              0.0016911,              0.0016911
                     80,                0.89576,                0.44692,                 1.0084,                0.99932,                      1,                  0.995,                0.69197,                 1.1706,                0.45795,                 1.0889,              0.0016872,              0.0016872,              0.0016872
                     81,                0.89736,                0.45324,                 1.0115,                0.89609,                      1,                0.98377,                0.68254,                 1.2039,                0.61819,                  1.093,              0.0016832,              0.0016832,              0.0016832
                     82,                0.88115,                0.44584,                 0.9929,                0.99896,                      1,                  0.995,                0.70117,                 1.1367,                0.44766,                 1.0675,              0.0016792,              0.0016792,              0.0016792
                     83,                0.85263,                0.43703,                 0.9818,                      1,                0.99907,                  0.995,                0.69363,                 1.1575,                0.48389,                 1.0691,              0.0016753,              0.0016753,              0.0016753
                     84,                 0.8746,                0.43682,                 0.9781,                0.98015,                      1,                0.99445,                0.67423,                 1.1998,                0.49949,                 1.1036,              0.0016713,              0.0016713,              0.0016713
                     85,                 0.8512,                0.42944,                0.98332,                0.99806,                      1,                  0.995,                0.72146,                 1.1178,                0.44362,                 1.0704,              0.0016674,              0.0016674,              0.0016674
                     86,                0.83449,                0.43423,                0.99309,                0.99868,                      1,                  0.995,                0.71186,                 1.0959,                0.40943,                 1.0474,              0.0016634,              0.0016634,              0.0016634
                     87,                0.84349,                0.43044,                0.98371,                0.99919,                      1,                  0.995,                0.70794,                 1.1095,                0.43784,                 1.0417,              0.0016594,              0.0016594,              0.0016594
                     88,                0.83759,                0.43069,                0.97892,                      1,                 0.9991,                  0.995,                0.69058,                 1.1326,                0.44196,                 1.0493,              0.0016555,              0.0016555,              0.0016555
                     89,                0.86025,                0.43782,                0.97069,                0.99869,                0.98148,                  0.994,                0.72402,                 1.1306,                0.45203,                 1.0661,              0.0016515,              0.0016515,              0.0016515
                     90,                0.83489,                0.42778,                0.99058,                      1,                0.99834,                  0.995,                0.67728,                 1.2051,                0.45362,                 1.1147,              0.0016476,              0.0016476,              0.0016476
